"Ingreso","Hijos_Pequenos","Hijos_Adolescentes","Dias_Ultima_Compra","Gasto_Vinos","Gasto_Frutas","Gasto_Carnes","Gasto_Pescado","Gasto_Dulces","Gasto_Premium","Compras_Descuento","Compras_Web","Compras_Catalogo","Compras_Tienda","Visitas_Web_Mes","Acepto_Cmp3","Acepto_Cmp4","Acepto_Cmp5","Acepto_Cmp1","Acepto_Cmp2","Queja","Respuesta","Edad","Dias_Cliente","Estado_Divorciado","Estado_Casado","Estado_Soltero","Estado_En_Relacion","Estado_Viudo","Educ_Secundaria","Educ_Basica","Educ_Pregrado","Educ_Maestria","Educ_Doctorado","Gasto_Total","Gasto_Productos_Regulares","Total_Campanas_Aceptadas","Estado_Civil","Educacion"
581380,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,1617,1529,0,3,3
463440,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,27,21,0,3,3
716130,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,776,734,0,4,3
266460,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,53,48,0,4,3
582930,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,422,407,0,2,5
625130,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,716,702,0,4,4
556350,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,590,563,0,1,3
334540,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,169,146,0,2,5
303510,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,46,44,0,4,5
56480,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,49,36,1,4,5
75000,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,44,2752,0,1,0,0,0,0,1,0,0,0,61,45,0,2,1
